URL,HELP Cat,Include,Header,Depth,Notes
https://mariadb.com/kb/en/system-tables/,,1,System Tables,1.1.2.9,Category
https://mariadb.com/kb/en/information-schema/,,1,Information Schema,1.1.2.9.1,Category
https://mariadb.com/kb/en/information-schema-tables/,,1,Information Schema Tables,1.1.2.9.1.1,Category
https://mariadb.com/kb/en/information-schema-innodb-tables/,,1,Information Schema InnoDB Tables,1.1.2.9.1.1.1,Category
https://mariadb.com/kb/en/information-schema-innodb_buffer_page-table/,TBC,1,,1.1.2.9.1.1.1.1,
https://mariadb.com/kb/en/information-schema-innodb_buffer_page_lru-table/,TBC,1,,1.1.2.9.1.1.1.2,
https://mariadb.com/kb/en/information-schema-innodb_buffer_pool_pages-table/,TBC,1,,1.1.2.9.1.1.1.3,
https://mariadb.com/kb/en/information-schema-innodb_buffer_pool_pages_blob-table/,TBC,1,,1.1.2.9.1.1.1.4,
https://mariadb.com/kb/en/information-schema-innodb_buffer_pool_pages_index-table/,TBC,1,,1.1.2.9.1.1.1.5,
https://mariadb.com/kb/en/information-schema-innodb_buffer_pool_stats-table/,TBC,1,,1.1.2.9.1.1.1.6,
https://mariadb.com/kb/en/information-schema-innodb_changed_pages-table/,TBC,1,,1.1.2.9.1.1.1.7,
https://mariadb.com/kb/en/information-schema-innodb_cmp-and-innodb_cmp_reset-tables/,TBC,1,,1.1.2.9.1.1.1.8,
https://mariadb.com/kb/en/information-schema-innodb_cmpmem-and-innodb_cmpmem_reset-tables/,TBC,1,,1.1.2.9.1.1.1.9,
https://mariadb.com/kb/en/information-schema-innodb-tables-information-schema-innodb_cmp_per_index-an/,TBC,1,,1.1.2.9.1.1.1.10,
https://mariadb.com/kb/en/information-schema-innodb_ft_being_deleted-table/,TBC,1,,1.1.2.9.1.1.1.11,
https://mariadb.com/kb/en/information-schema-innodb_ft_config-table/,TBC,1,,1.1.2.9.1.1.1.12,
